player_id,player,college,conference,years,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,passer_rating,rushing_attempts,rushing_yards,rushing_touchdowns,wins,losses,highest_rank,conference_wins,conference_losses,points_for,points_against,years_missing,height,weight,age
2009-201,Curtis Painter,65,4,4,46.0,987.0,1648.0,11163.0,67.0,46.0,119.575,225.0,348.0,13.0,25,25,11,13,19,1436,1329,0,74.88,225.0,24
2015-75,Garrett Grayson,16,8,4,37.0,688.0,1113.0,9190.0,64.0,27.0,134.77499999999998,212.0,283.0,4.0,25,26,21,15,16,1459,1481,0,74.5,213.0,24
2020-6,Justin Herbert,61,10,4,44.0,827.0,1293.0,10541.0,95.0,23.0,154.425,231.0,560.0,13.0,32,20,5,20,17,1841,1435,0,78.25,236.0,22
2015-103,Bryce Petty,9,2,4,37.0,530.0,845.0,8195.0,62.0,10.0,170.47500000000002,192.0,338.0,21.0,40,12,3,26,10,2475,1606,0,74.88,230.0,24
2003-110,Seneca Wallace,34,2,2,25.0,411.0,712.0,5289.0,26.0,27.0,126.2,237.0,912.0,15.0,14,12,9,8,8,713,641,0,71.4,196.0,23
2014-22,Johnny Manziel,79,11,2,26.0,595.0,863.0,7820.0,63.0,22.0,164.10000000000002,345.0,2169.0,30.0,20,6,5,10,6,1153,702,0,71.75,207.0,21
2005-25,Jason Campbell,6,11,4,48.0,552.0,854.0,7299.0,45.0,24.0,146.775,249.0,307.0,9.0,37,14,2,24,9,1401,871,0,76.75,230.0,23
2002-1,David Carr,24,13,4,35.0,530.0,845.0,6927.0,61.0,20.0,118.35,172.0,118.0,9.0,29,20,8,22,10,1460,1108,0,75.4,223.0,23
2002-164,Craig Nall,38,11,3,16.0,35.0,79.0,431.0,0.0,4.0,48.46666666666667,16.0,-65.0,0.0,15,19,6,8,16,880,773,0,75.0,230.0,23
2000-199,Tom Brady,46,4,4,29.0,395.0,638.0,4773.0,30.0,17.0,118.125,90.0,-150.0,3.0,40,9,1,26,6,1319,780,0,76.4,211.0,23
2018-10,Josh Rosen,87,10,3,30.0,712.0,1170.0,9341.0,59.0,26.0,140.0666666666667,109.0,-154.0,6.0,18,20,7,11,16,1140,1144,0,76.0,226.0,21
